"","idade","genero","estado","cor","eb","es","ies","anocurso","curso","mediag","turno","formato","opcaouni","opçãocurso","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","a40","ce1","ce2","ce3","ce4","ce5","ce6","ce7","ce8","ce9","ce10","ce11","ce12","ce13","ce14","ce15","ce16","ce17","ce18","re1","re2","re3","re4","re5","re6","re7","re8","re9","re10","re11","re12","re13","re14","re15","re16","re17","re18","re19","re20","re21","re22","re23","re24","rv1","rv2","rv3","rv4","rv5","rv6","rv7","rv8","rv9","rv10","rv11","rv12","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p41","p42","p43","p44","ib1","ib2","ib3","ib4","ib5","ib6","ib7","ib8","ib9","ib10","ib11","ib12","ib13","ib14","ib15","ib16","ib17","ib18","qaes_projcar","qaes_adptsoc","qaes_apesemo","qaes_adptest","qaes_adptins","qaes_totalsc","tce","rv","tre_efi","tre_ine","extrover","neurotic","conscien","abertura","amabilid","nse"
"1",20,"Feminino",1,"Preto",2,"estacio",2,3,"psicologia",8.38,3,1,1,2,5,5,4,5,5,5,5,2,5,5,5,5,5,3,5,3,3,3,5,5,1,1,4,5,5,3,5,4,5,5,5,5,5,5,5,5,3,5,5,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,2,1,5,5,1,3,5,1,4,3,1,5,5,5,1,3,5,5,3,5,1,5,3,5,1,1,1,1,0,1,1,1,0,1,1,0,5,3,3,4,4,5,2,5,5,3,5,2,5,4,5,3,1,5,2,4,2,3,3,3,5,5,5,1,4,1,5,4,5,3,5,2,5,2,5,5,5,2,1,5,1,2,2,1,2,2,1,3,1,1,2,1,1,2,3,2,2,1,5,4,4.75,4,4,3.65,16,9,8,5,4.25,2.83333333333333,4.16666666666667,5,5,0
"2",21,"Masculino",1,"Preto",2,"Estácio",2,4,"Psicologia",9.5,3,4,2,1,4,5,5,5,5,3,5,4,5,5,5,5,2,4,5,5,5,4,5,5,2,4,2,5,5,3,4,4,4,5,4,5,5,4,5,4,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,5,5,1,3,4,1,2,2,1,5,5,5,1,3,5,1,5,3,1,3,1,5,1,1,1,1,1,1,1,0,1,1,0,0,5,4,4,5,2,2,5,5,3,1,4,2,1,1,4,3,5,5,4,3,1,1,3,4,4,4,5,2,3,1,5,3,4,3,1,1,4,2,4,3,4,3,2,1,1,2,1,1,2,2,2,3,2,2,2,2,2,3,4,4,5,2,5,4.75,4.625,3.75,3.75,3.725,18,9,8,5,3.5,3,3.16666666666667,2.88888888888889,4.66666666666667,3
"3",28,"Feminino",1,"Preto",2,"Esuda",2,2,"Psicologia",9.5,3,1,1,1,3,5,5,2,4,3,5,5,2,5,3,5,5,3,5,5,5,2,3,5,1,5,3,3,5,3,5,3,3,5,5,5,4,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,5,4,1,3,4,1,1,3,1,5,5,5,1,1,5,1,5,1,1,5,3,5,1,1,1,1,0,1,1,1,1,0,0,0,5,1,3,5,5,5,4,5,5,2,5,2,5,4,5,1,1,5,2,5,3,4,3,1,5,5,5,1,3,3,5,4,5,5,5,3,5,4,5,5,5,1,2,2,1,2,2,1,1,2,2,3,1,1,2,2,2,4,4,3,2,2,4.875,5,2.75,4,3.5,4.125,17,8,7,8,4.625,3,3.83333333333333,4.55555555555556,5,2
"4",46,"Feminino",1,"Branco",1,"ESUDA",2,3,"PSICOLOGIA",9,3,1,2,2,2,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,4,5,5,5,3,4,5,5,3,5,5,4,5,4,5,5,5,5,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,5,4,1,1,4,3,1,1,1,5,5,1,1,1,3,5,5,3,1,3,3,1,1,1,1,1,1,0,0,1,0,1,1,0,4,1,4,5,4,4,2,5,3,2,5,3,5,4,4,3,3,4,2,4,1,3,5,3,5,5,5,3,5,3,5,4,4,4,4,2,3,3,3,3,3,2,1,5,1,2,1,2,1,2,1,3,1,1,2,2,1,2,3,2,2,1,5,4.75,4.75,4.5,4.125,3.925,13,8,3,8,3.875,2.66666666666667,3.66666666666667,4.33333333333333,4.33333333333333,2
"5",28,"Feminino",1,"Pardo",2,"Centro UniversitárioEstácio doRecife",2,5,"Psicologia",8.17,3,4,1,1,3,5,4,1,4,2,3,2,2,5,5,5,5,5,3,5,5,3,5,5,2,5,3,3,5,2,5,3,1,5,1,4,5,1,3,1,5,5,5,5,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,5,3,1,5,3,1,1,1,1,5,5,5,1,2,5,3,5,2,1,2,2,4,1,1,1,0,1,1,0,1,0,1,1,0,5,3,2,4,3,5,1,5,3,2,3,3,3,5,5,4,3,5,1,5,5,3,5,5,3,5,5,1,5,1,5,3,5,3,5,1,3,3,3,5,5,1,3,1,1,2,2,1,2,2,1,1,2,1,2,1,1,2,4,3,5,1,4.375,4.625,2.875,3.75,2.625,3.7,14,8,5,8,3.875,1.5,3.83333333333333,3.22222222222222,5,0
"6",23,"Masculino",1,"Pardo",1,"CENTRO UNIVERSITÁRIO ESTACIO DO RECIFE",2,6,"Psicologia",8.71,3,2,1,1,3,2,5,4,4,1,4,4,2,4,4,4,4,2,4,4,3,2,4,3,1,3,3,3,4,2,3,2,2,4,3,4,4,2,5,2,3,4,3,4,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,4,2,5,5,1,1,3,3,1,3,1,5,1,5,1,2,4,3,4,2,3,4,2,5,1,1,1,0,1,1,1,1,1,0,0,0,4,1,2,4,3,3,1,4,4,1,5,2,4,4,4,2,3,4,4,3,2,2,3,3,4,3,4,3,3,2,4,4,4,3,3,3,3,4,3,3,3,2,2,4,1,2,2,1,1,2,1,3,1,1,1,2,1,2,3,2,2,1,4,3.25,2.75,3.5,2.5,3.3,15,8,5,3,3.5,2.66666666666667,3,3.88888888888889,4,1
"7",25,"Feminino",1,"Branco",1,"Esuda",2,3,"Psicologia",9.5,3,1,2,1,3,5,5,2,5,5,3,2,3,5,5,3,5,3,5,5,4,2,4,5,5,3,3,3,5,3,5,3,2,5,5,4,4,3,5,5,3,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,5,1,3,5,1,1,1,1,5,5,5,1,1,3,3,5,3,1,5,1,5,1,1,1,1,1,0,1,1,1,1,1,0,3,2,5,4,3,4,3,5,3,3,4,3,2,3,5,3,1,5,2,5,4,1,5,3,4,3,5,2,3,1,5,3,5,1,3,1,4,1,5,4,3,4,1,5,1,2,2,1,1,2,1,3,2,1,2,1,1,2,3,3,2,2,5,3.75,2.875,3.625,4.5,4,18,10,9,8,3,1.83333333333333,4.5,4,5,0
"8",24,"Masculino",1,"Branco",2,"Estácio Recife",2,5,"Psicologia",8.01,3,4,2,1,3,5,4,5,3,1,5,4,5,3,3,5,4,5,4,5,4,4,5,4,3,3,4,4,3,2,4,3,3,3,5,5,4,3,3,3,4,4,4,5,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3,1,4,5,1,1,5,2,1,2,2,5,5,5,1,2,5,2,5,2,2,3,2,5,1,1,1,1,1,1,0,1,1,1,1,0,2,4,4,4,2,4,4,4,3,3,3,2,4,4,5,5,3,4,3,3,3,4,3,3,3,2,5,4,3,2,4,2,4,4,4,3,3,2,4,1,4,5,2,2,1,2,2,2,1,2,2,3,1,1,2,2,1,4,4,2,2,1,3.5,4.375,4.25,3.875,3.125,3.325,14,10,7,3,2.25,3,3.33333333333333,3.44444444444444,4.33333333333333,2
"9",45,"Feminino",1,"Amarelo",2,"Estácio",2,3,"Psicologia",9.3,3,1,1,1,3,4,5,1,5,4,3,4,4,5,3,4,5,4,5,4,5,3,3,5,4,5,5,3,5,4,3,3,3,5,4,5,5,3,5,3,5,5,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,5,3,3,3,3,3,2,1,5,5,5,2,2,5,3,3,3,2,5,1,5,1,1,1,1,1,1,1,1,1,1,1,0,5,3,5,5,5,5,4,5,5,2,5,4,5,4,5,1,4,5,4,5,5,4,5,3,5,5,5,4,3,4,5,2,5,4,5,5,5,4,5,5,5,3,3,5,2,2,2,2,2,2,1,3,1,2,2,2,2,4,4,3,7,1,5,4.25,3,4.375,3.625,4.05,18,11,8,2,4.125,2.5,3,4.77777777777778,5,5
"10",24,"Feminino",1,"Preto",1,"Estácio",2,4,"psicologia",7.3,3,2,2,2,3,4,4,5,4,3,1,1,5,3,3,2,4,5,4,3,1,1,5,2,2,1,1,5,3,1,3,1,5,3,1,2,2,5,3,2,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,5,4,1,1,4,2,2,3,1,5,4,5,1,2,5,2,4,3,2,5,3,1,1,1,1,1,1,1,0,1,1,1,1,0,4,3,4,4,5,4,2,4,3,2,3,3,3,4,4,3,3,4,4,5,3,5,3,2,4,3,5,3,3,3,5,2,4,3,4,3,3,3,5,4,5,3,3,4,1,2,2,2,1,2,1,3,2,1,2,2,1,2,3,3,2,1,3.25,2,5,2,2.25,2.1,17,10,5,3,3.375,2.66666666666667,2.83333333333333,3.66666666666667,4,2
